Image,Format,NoiseLevel,Filter,PSNR,Similarity%
cat.pgm,P5,0.01,median_3,48.3689,99.5584
cat.pgm,P5,0.01,median_5,43.351,98.2141
cat.pgm,P5,0.01,mean_3,33.8987,92.8687
cat.pgm,P5,0.01,mean_5,36.5333,87.0657
cat.pgm,P5,0.01,gaussian_3,33.1375,93.3918
cat.pgm,P5,0.05,median_3,46.5122,99.3879
cat.pgm,P5,0.05,median_5,43.0688,98.0727
cat.pgm,P5,0.05,mean_3,26.6653,70.5556
cat.pgm,P5,0.05,mean_5,29.9004,57.9239
cat.pgm,P5,0.05,gaussian_3,25.8564,71.5442
cat.pgm,P5,0.1,median_3,42.7506,99.0769
cat.pgm,P5,0.1,median_5,42.5996,97.8029
cat.pgm,P5,0.1,mean_3,23.3435,50.677
cat.pgm,P5,0.1,mean_5,26.2763,38.9362
cat.pgm,P5,0.1,gaussian_3,22.5826,51.9093
firefox.pgm,P5,0.01,median_3,33.8746,89.9266
firefox.pgm,P5,0.01,median_5,31.2628,84.3748
firefox.pgm,P5,0.01,mean_3,30.6248,80.0338
firefox.pgm,P5,0.01,mean_5,29.4465,71.9625
firefox.pgm,P5,0.01,gaussian_3,31.108,83.2118
firefox.pgm,P5,0.05,median_3,33.4715,89.1718
firefox.pgm,P5,0.05,median_5,31.1127,83.8598
firefox.pgm,P5,0.05,mean_3,26.2927,59.1972
firefox.pgm,P5,0.05,mean_5,27.4774,52.3545
firefox.pgm,P5,0.05,gaussian_3,25.828,62.6294
firefox.pgm,P5,0.1,median_3,32.6925,88.123
firefox.pgm,P5,0.1,median_5,30.9023,83.101
firefox.pgm,P5,0.1,mean_3,23.5763,41.7094
firefox.pgm,P5,0.1,mean_5,25.5214,38.711
firefox.pgm,P5,0.1,gaussian_3,22.9279,44.8912
honeybadger.pgm,P5,0.01,median_3,39.968,94.7254
honeybadger.pgm,P5,0.01,median_5,33.7718,83.0104
honeybadger.pgm,P5,0.01,mean_3,33.11,86.4298
honeybadger.pgm,P5,0.01,mean_5,31.9347,72.6396
honeybadger.pgm,P5,0.01,gaussian_3,32.7195,89.82
honeybadger.pgm,P5,0.05,median_3,39.2501,93.9183
honeybadger.pgm,P5,0.05,median_5,33.6545,82.6721
honeybadger.pgm,P5,0.05,mean_3,26.9236,64.2664
honeybadger.pgm,P5,0.05,mean_5,28.8598,52.8514
honeybadger.pgm,P5,0.05,gaussian_3,26.0864,68.2146
honeybadger.pgm,P5,0.1,median_3,37.62,92.8664
honeybadger.pgm,P5,0.1,median_5,33.4872,82.2433
honeybadger.pgm,P5,0.1,mean_3,23.7612,44.4814
honeybadger.pgm,P5,0.1,mean_5,26.2114,38.6836
honeybadger.pgm,P5,0.1,gaussian_3,22.91,48.6786
korgy.pgm,P5,0.01,median_3,42.1503,98.1947
korgy.pgm,P5,0.01,median_5,39.4972,97.0157
korgy.pgm,P5,0.01,mean_3,33.6291,90.4876
korgy.pgm,P5,0.01,mean_5,35.7733,86.4289
korgy.pgm,P5,0.01,gaussian_3,32.9392,91.6291
korgy.pgm,P5,0.05,median_3,41.6724,98.0596
korgy.pgm,P5,0.05,median_5,39.3444,96.9259
korgy.pgm,P5,0.05,mean_3,27.0754,66.7566
korgy.pgm,P5,0.05,mean_5,30.3872,60.3066
korgy.pgm,P5,0.05,gaussian_3,26.1597,69.3767
korgy.pgm,P5,0.1,median_3,39.8585,97.7997
korgy.pgm,P5,0.1,median_5,39.1293,96.733
korgy.pgm,P5,0.1,mean_3,23.8347,45.9326
korgy.pgm,P5,0.1,mean_5,26.9848,42.8159
korgy.pgm,P5,0.1,gaussian_3,22.9423,49.3873
oul.pgm,P5,0.01,median_3,31.3888,90.8894
oul.pgm,P5,0.01,median_5,27.8023,87.4056
oul.pgm,P5,0.01,mean_3,28.9136,81.6912
oul.pgm,P5,0.01,mean_5,26.7564,76.2739
oul.pgm,P5,0.01,gaussian_3,29.8882,83.8804
oul.pgm,P5,0.05,median_3,31.0488,90.5633
oul.pgm,P5,0.05,median_5,27.7014,87.189
oul.pgm,P5,0.05,mean_3,25.3417,60.2867
oul.pgm,P5,0.05,mean_5,25.4542,52.4687
oul.pgm,P5,0.05,gaussian_3,25.1649,64.1314
oul.pgm,P5,0.1,median_3,30.3209,90.0883
oul.pgm,P5,0.1,median_5,27.5732,86.9832
oul.pgm,P5,0.1,mean_3,22.8133,41.2891
oul.pgm,P5,0.1,mean_5,23.9211,36.8464
oul.pgm,P5,0.1,gaussian_3,22.3525,46.3383
shpitz.pgm,P5,0.01,median_3,36.9125,91.8584
shpitz.pgm,P5,0.01,median_5,33.1196,83.9822
shpitz.pgm,P5,0.01,mean_3,32.5672,82.6973
shpitz.pgm,P5,0.01,mean_5,31.6185,74.5313
shpitz.pgm,P5,0.01,gaussian_3,32.6672,86.1421
shpitz.pgm,P5,0.05,median_3,36.5094,91.2439
shpitz.pgm,P5,0.05,median_5,33.0179,83.6936
shpitz.pgm,P5,0.05,mean_3,27.3314,59.8872
shpitz.pgm,P5,0.05,mean_5,29.1913,55.9225
shpitz.pgm,P5,0.05,gaussian_3,26.638,63.2857
shpitz.pgm,P5,0.1,median_3,35.6572,90.4364
shpitz.pgm,P5,0.1,median_5,32.8919,83.3399
shpitz.pgm,P5,0.1,mean_3,24.5337,41.8044
shpitz.pgm,P5,0.1,mean_5,27.1444,43.0883
shpitz.pgm,P5,0.1,gaussian_3,23.722,44.4323
